,_9m
462,-0.8193719078120756
463,-0.834104277221158
464,-0.8470603423333056
465,-0.8602434113522541
466,-0.8741075956182103
467,-0.8873665210841111
468,-0.9010800726562085
469,-0.9142965468153026
470,-0.9287620132822854
471,-0.9422877635997695
472,-0.9563812917862604
473,-0.970739862124435
474,-0.9847958408351687
475,-0.9994952890405973
476,-1.0139969093744163
477,-1.0232896103023013
478,-1.037262635890058
479,-1.0512400993188358
480,-1.0647994237926799
481,-1.0782448970882754
482,-1.0916157832479376
483,-1.1056293026216508
484,-1.119747923177834
485,-1.1334924490778304
486,-1.147241204729264
487,-1.1608377186402228
488,-1.173642492718101
489,-1.186978954877687
490,-1.2005035274719438
491,-1.2140576803622594
492,-1.2274286256721538
493,-1.2408037170287605
494,-1.2541025969291377
495,-1.2665688434725686
496,-1.2789236423791728
497,-1.2910873299347765
498,-1.3034323703767354
499,-1.3163134967661154
500,-1.3291986127460431
501,-1.342159558707909
502,-1.355578298927747
503,-1.3683105246773462
504,-1.3816761490084053
505,-1.3950768002068692
506,-1.407276783217748
507,-1.419480490645336
508,-1.4326354991993568
509,-1.4450718879062627
510,-1.4584230902345645
511,-1.4697350897458676
512,-1.4816039792823368
513,-1.4946551701367428
514,-1.5077108440935856
515,-1.5203091605725305
516,-1.5324909260130628
517,-1.5446712755599723
518,-1.5573858009325487
519,-1.570393907527797
520,-1.5834855541798767
521,-1.5965816255381071
522,-1.60975355685619
523,-1.6230022861144011
524,-1.6356829635488808
525,-1.6477931270953272
526,-1.6598941189439271
527,-1.6720793111324923
528,-1.6842686330640522
529,-1.6963809998002617
530,-1.7089139681007746
531,-1.7216723546679695
532,-1.7360695273791782
533,-1.7497312914639211
534,-1.7636286245703472
535,-1.7775306602577432
536,-1.7913180951439207
537,-1.8041574795136084
538,-1.816165479036779
539,-1.826171523227166
540,-1.8351736830296677
541,-1.844228576690945
542,-1.853286805190737
543,-1.8623053690231348
544,-1.8723887309723608
545,-1.882539901182052
546,-1.8938626048321634
547,-1.9061891989879056
548,-1.916108105902655
549,-1.9260303498177924
550,-1.936232084776984
551,-1.9466716057069746
552,-1.9570349933539068
553,-1.9657670075080143
554,-1.97547043833426
555,-1.9834092463371844
556,-1.9913507270590696
557,-1.9994108535030914
558,-2.0067884043169606
559,-2.0137474680846292
560,-2.02043962422621
561,-2.0279709520411524
562,-2.0353090276827857
563,-2.042649697738976
564,-2.0497216164275924
565,-2.056839328422557
566,-2.064344221858783
567,-2.0718099620990618
568,-2.0788906689395352
569,-2.0856737522312523
570,-2.092459427024651
571,-2.099125597134564
572,-2.105869187318742
573,-2.1128051630375806
574,-2.120395742421927
575,-2.127317847891689
576,-2.1350019146079617
577,-2.1426887206833474
578,-2.1496601353848055
579,-2.156372901879225
580,-2.164287369045619
581,-2.1715718184426
582,-2.1782046445377903
583,-2.1843583776124476
584,-2.190514587013327
585,-2.1964768455131454
586,-2.2024745934009387
587,-2.2077880001477173
588,-2.213216582604149
589,-2.219900346599979
590,-2.2250797897810184
591,-2.230261501541862
592,-2.2355167716991335
593,-2.2399371539752
594,-2.2438264580435288
595,-2.245452970337805
596,-2.247487964711767
597,-2.24934127792282
598,-2.2511957348408584
599,-2.2534286080204415
600,-2.259634075747167
601,-2.260586278193963
602,-2.262819506082458
603,-2.265054547375361
604,-2.265415814115376
605,-2.265963052378696
606,-2.2660477867482207
607,-2.2653358368855105
608,-2.2646223689216036
609,-2.2639762148439795
610,-2.2633751642177335
611,-2.2482993752788207
612,-2.2478713005724433
613,-2.247628474646797
614,-2.2479159333753715
615,-2.2482102146807117
616,-2.248675805019996
617,-2.249450176697966
618,-2.2498190440702572
619,-2.2499985081471188
620,-2.2504774948352777
621,-2.250990026486999
622,-2.251051779903473
623,-2.2514118990020124
624,-2.251315800430289
625,-2.2497770726121438
626,-2.2485912704141473
627,-2.2472833727341754
628,-2.2472539983082234
629,-2.2476707332329067
630,-2.244286339658353
631,-2.2422737232287773
